iter	Passed	Remaining
0	29	59311
1	60	60664
2	92	61860
3	120	60275
4	148	59146
5	175	58436
6	198	56637
7	227	56597
8	256	56635
9	283	56477
10	312	56485
11	340	56363
12	366	55982
13	395	56075
14	423	56106
15	446	55375
16	474	55319
17	502	55347
18	525	54802
19	551	54587
20	574	54118
21	602	54148
22	628	54063
23	656	54077
24	683	54012
25	713	54157
26	739	54059
27	766	53960
28	793	53925
29	822	54035
30	851	54086
31	878	54046
32	902	53801
33	930	53805
34	961	53959
35	988	53953
36	1015	53895
37	1043	53868
38	1069	53796
39	1095	53700
40	1123	53670
41	1153	53782
42	1183	53871
43	1211	53866
44	1239	53865
45	1268	53875
46	1298	53954
47	1326	53955
48	1353	53897
49	1383	53942
50	1412	53995
51	1444	54095
52	1470	54024
53	1496	53935
54	1523	53862
55	1549	53774
56	1576	53738
57	1603	53674
58	1632	53711
59	1660	53700
60	1688	53680
61	1719	53744
62	1748	53754
63	1776	53725
64	1803	53680
65	1829	53619
66	1857	53595
67	1884	53546
68	1911	53507
69	1939	53480
70	1966	53432
71	1993	53392
72	2022	53383
73	2049	53342
74	2077	53329
75	2105	53302
76	2133	53290
77	2159	53221
78	2182	53077
79	2210	53040
80	2236	52985
81	2264	52975
82	2291	52915
83	2317	52866
84	2344	52828
85	2373	52825
86	2404	52871
87	2432	52845
88	2458	52790
89	2485	52751
90	2512	52702
91	2539	52673
92	2566	52637
93	2593	52584
94	2619	52530
95	2645	52471
96	2671	52417
97	2699	52385
98	2725	52339
99	2751	52284
100	2778	52232
101	2805	52204
102	2831	52157
103	2857	52099
104	2885	52070
105	2913	52057
106	2940	52022
107	2966	51967
108	2992	51921
109	3019	51881
110	3045	51828
111	3071	51781
112	3089	51599
113	3118	51587
114	3144	51546
115	3171	51501
116	3197	51465
117	3224	51431
118	3250	51384
119	3278	51369
120	3306	51348
121	3333	51319
122	3362	51314
123	3385	51217
124	3415	51228
125	3442	51193
126	3468	51156
127	3495	51125
128	3523	51103
129	3551	51092
130	3579	51071
131	3605	51029
132	3631	50982
133	3657	50937
134	3684	50895
135	3710	50861
136	3737	50819
137	3764	50790
138	3792	50777
139	3819	50742
140	3845	50706
141	3871	50662
142	3898	50621
143	3925	50597
144	3952	50563
145	3978	50522
146	4005	50484
147	4031	50446
148	4057	50410
149	4084	50372
150	4112	50352
151	4139	50324
152	4165	50284
153	4191	50247
154	4218	50211
155	4245	50181
156	4273	50160
157	4301	50151
158	4329	50125
159	4356	50095
160	4385	50089
161	4414	50084
162	4441	50057
163	4468	50027
164	4494	49988
165	4521	49954
166	4548	49922
167	4575	49890
168	4602	49859
169	4628	49827
170	4656	49809
171	4683	49773
172	4709	49734
173	4735	49695
174	4763	49673
175	4791	49659
176	4820	49645
177	4848	49632
178	4877	49614
179	4904	49588
180	4931	49564
181	4959	49537
182	4987	49519
183	5013	49484
184	5039	49445
185	5066	49412
186	5092	49377
187	5120	49350
188	5146	49317
189	5175	49308
190	5203	49282
191	5230	49258
192	5260	49256
193	5288	49236
194	5316	49214
195	5345	49200
