iter	Accuracy	CrossEntropy
0	0.9643835616	0.6506770722
1	0.9780821918	0.613970362
2	0.9808219178	0.5788924544
3	0.9835616438	0.5430527779
4	0.9808219178	0.5159648738
5	0.9835616438	0.4866142796
6	0.9808219178	0.4664316256
7	0.9835616438	0.4434053604
8	0.9835616438	0.4196742228
9	0.9835616438	0.3972504916
10	0.9808219178	0.3763659334
11	0.9808219178	0.3599543323
12	0.9808219178	0.3425042348
13	0.9808219178	0.3266277156
14	0.9808219178	0.3119229669
15	0.9808219178	0.2981726241
16	0.9780821918	0.2877314737
17	0.9808219178	0.2745930502
18	0.9835616438	0.2610908195
19	0.9808219178	0.2498921225
20	0.9808219178	0.2418282287
21	0.9780821918	0.2339781461
22	0.9780821918	0.2252283802
23	0.9780821918	0.2198646232
24	0.9780821918	0.2106678584
