iter	Passed	Remaining
0	12	24297
1	25	25006
2	33	22628
3	48	24051
4	59	23640
5	70	23584
6	82	23402
7	94	23474
8	106	23639
9	123	24518
10	137	24889
11	147	24364
12	157	24036
13	167	23764
14	181	23989
15	192	23863
16	204	23828
17	218	24096
18	230	24052
19	243	24102
20	254	23980
21	267	24074
22	278	23910
23	289	23802
24	301	23840
25	312	23698
26	322	23533
27	334	23590
28	346	23527
29	355	23331
30	365	23192
31	378	23247
32	387	23079
33	401	23193
34	411	23122
35	424	23141
36	441	23434
37	452	23360
38	467	23497
39	477	23415
40	488	23361
41	501	23377
42	512	23329
43	522	23236
44	536	23295
45	549	23337
46	559	23251
47	573	23304
48	586	23354
49	595	23241
50	609	23303
51	619	23215
52	633	23261
53	646	23295
54	661	23382
55	671	23298
56	680	23195
57	693	23229
58	707	23289
59	722	23349
60	736	23415
61	752	23527
62	766	23580
63	779	23582
64	792	23590
65	803	23555
66	816	23563
67	827	23498
68	840	23522
69	854	23551
70	864	23478
71	877	23497
72	890	23516
73	904	23539
74	916	23514
75	927	23488
76	939	23452
77	950	23420
78	965	23481
79	979	23519
80	995	23576
81	1008	23592
82	1023	23638
83	1034	23606
84	1047	23608
85	1059	23573
86	1068	23485
87	1079	23451
88	1093	23483
89	1107	23509
90	1122	23556
91	1138	23609
92	1150	23594
93	1166	23644
94	1181	23689
95	1194	23700
96	1207	23693
97	1220	23696
98	1235	23719
99	1245	23672
100	1256	23617
101	1269	23628
102	1282	23619
103	1292	23561
104	1302	23503
105	1312	23444
106	1325	23441
107	1338	23442
108	1346	23363
109	1359	23353
110	1372	23352
111	1385	23348
112	1398	23351
113	1410	23331
114	1423	23336
115	1436	23333
116	1449	23321
117	1462	23317
118	1472	23281
119	1486	23280
120	1494	23213
121	1507	23199
122	1520	23202
123	1530	23151
124	1543	23147
125	1556	23146
126	1569	23144
127	1582	23143
128	1596	23154
129	1611	23177
130	1621	23140
131	1634	23132
132	1647	23127
133	1660	23124
134	1670	23073
135	1683	23069
136	1695	23062
137	1708	23057
138	1717	22997
139	1731	23000
140	1744	22998
141	1757	23002
142	1770	22994
143	1782	22976
144	1795	22964
145	1807	22950
146	1820	22944
147	1833	22941
148	1846	22937
149	1857	22905
150	1867	22866
151	1878	22836
152	1891	22835
153	1904	22831
154	1917	22825
155	1930	22821
156	1943	22817
157	1956	22810
158	1968	22797
159	1978	22752
160	1993	22766
161	2006	22767
162	2019	22761
163	2029	22720
164	2042	22717
165	2056	22716
166	2068	22709
167	2083	22720
168	2096	22716
169	2109	22708
170	2123	22707
171	2136	22704
172	2148	22693
173	2162	22689
174	2175	22682
175	2187	22675
176	2200	22663
177	2213	22655
178	2223	22615
179	2235	22605
180	2249	22608
181	2259	22567
182	2271	22551
183	2282	22526
184	2293	22500
185	2307	22505
186	2320	22494
187	2333	22491
188	2347	22495
189	2361	22494
190	2374	22487
191	2383	22447
192	2397	22445
193	2411	22445
194	2423	22437
195	2437	22431
196	2450	22428
197	2462	22412
198	2475	22400
199	2488	22396
200	2501	22389
201	2514	22385
202	2528	22383
203	2539	22357
204	2552	22349
205	2563	22323
206	2576	22319
207	2590	22319
208	2603	22313
209	2616	22305
210	2629	22296
211	2642	22289
212	2655	22279
213	2668	22269
214	2680	22258
215	2694	22252
216	2707	22245
217	2721	22243
218	2736	22253
219	2751	22264
220	2768	22288
221	2785	22310
222	2796	22280
223	2810	22280
224	2823	22277
225	2837	22273
226	2845	22228
227	2859	22224
228	2871	22207
229	2881	22173
230	2894	22169
231	2907	22159
232	2924	22176
233	2940	22195
234	2958	22223
235	2984	22311
236	3003	22343
237	3017	22339
238	3033	22350
239	3046	22344
240	3063	22357
241	3080	22378
242	3098	22402
243	3108	22369
244	3125	22388
245	3143	22415
246	3158	22418
247	3171	22401
248	3183	22388
249	3201	22407
250	3219	22432
251	3239	22468
252	3251	22452
253	3264	22443
254	3279	22444
255	3295	22450
256	3310	22453
257	3321	22426
258	3334	22416
259	3348	22409
260	3362	22406
261	3374	22385
262	3386	22368
263	3400	22358
264	3415	22361
265	3426	22336
266	3440	22331
267	3454	22326
268	3468	22318
269	3482	22311
270	3495	22302
271	3505	22272
272	3520	22273
273	3535	22272
274	3546	22246
275	3559	22235
276	3573	22229
277	3584	22205
278	3598	22194
279	3608	22163
280	3620	22147
281	3629	22110
282	3642	22100
283	3651	22063
284	3661	22032
285	3674	22023
286	3687	22011
287	3699	21988
288	3712	21978
289	3726	21972
290	3735	21935
291	3749	21931
292	3762	21918
293	3775	21908
294	3790	21910
295	3799	21872
296	3813	21868
297	3823	21838
298	3837	21833
299	3848	21809
300	3860	21793
301	3874	21785
302	3888	21776
303	3900	21763
304	3914	21751
305	3924	21725
306	3937	21715
307	3950	21704
308	3961	21676
309	3974	21667
310	3987	21656
311	4000	21643
312	4013	21632
313	4026	21622
314	4040	21612
315	4051	21588
316	4064	21579
317	4078	21569
318	4091	21559
319	4104	21549
