iter	Accuracy	CrossEntropy
0	0.9703947368	0.6564863607
1	0.9703947368	0.62489098
2	0.9703947368	0.5929294887
3	0.9703947368	0.5606780303
4	0.9638157895	0.536141496
5	0.9736842105	0.5088512521
6	0.9736842105	0.4842399296
7	0.9736842105	0.4605619531
8	0.9736842105	0.4386455134
9	0.9736842105	0.4195357875
10	0.9736842105	0.3997066648
11	0.9769736842	0.3807676466
12	0.9769736842	0.3631209574
13	0.9769736842	0.3474230013
14	0.9802631579	0.3335695016
15	0.9802631579	0.3192821302
16	0.9802631579	0.3079003786
17	0.9802631579	0.2976203718
18	0.9802631579	0.285374792
19	0.9802631579	0.2742344706
20	0.9802631579	0.2640003907
21	0.9835526316	0.256292042
22	0.9835526316	0.2491950236
