iter	RMSE
0	23.68141287
1	23.09911041
2	22.53852403
3	21.98073877
4	21.44864798
5	20.89720909
6	20.40106295
7	19.8963523
8	19.40737829
9	18.94001319
10	18.50387973
11	18.04670531
12	17.61321197
13	17.18257642
14	16.77985388
15	16.37727292
16	16.00537441
17	15.64427412
18	15.26722012
19	14.92064931
20	14.57914237
21	14.26760728
22	13.95790772
23	13.65201576
24	13.34836438
25	13.05557536
26	12.78457254
27	12.51701297
28	12.25941156
29	12.00311376
30	11.74584411
31	11.49974507
32	11.24707323
33	11.01025415
34	10.78685788
35	10.58295792
36	10.35960982
37	10.14125595
38	9.938895961
39	9.738985453
40	9.559147074
41	9.369126149
42	9.206088948
43	9.019820375
44	8.841962377
45	8.663235712
46	8.491804234
47	8.355219021
48	8.197566355
49	8.069533958
50	7.925658126
51	7.781276702
52	7.643999219
53	7.523855486
54	7.401098046
55	7.278200076
56	7.157428655
57	7.039494134
58	6.927590746
59	6.801939619
60	6.695001471
61	6.597275131
62	6.494898445
63	6.41544523
64	6.32093787
65	6.224484025
66	6.144432268
67	6.058297751
68	5.971797029
69	5.883049423
70	5.802034948
71	5.730817458
72	5.651615648
73	5.582755085
74	5.531037262
75	5.458829554
76	5.397631912
77	5.333961317
78	5.264731934
79	5.202472636
80	5.144366226
81	5.08317836
82	5.037993959
83	4.981610915
84	4.930330062
85	4.863567365
86	4.814556269
87	4.769461938
88	4.730240341
89	4.684813561
90	4.630810851
91	4.585789783
92	4.520856228
93	4.496665556
94	4.451072551
95	4.41589193
96	4.386974483
97	4.338983415
98	4.309226336
99	4.278830019
