iter	Passed	Remaining
0	88	8771
1	174	8551
2	273	8843
3	361	8666
4	450	8562
5	541	8490
6	626	8330
7	712	8192
8	796	8055
9	882	7944
10	997	8073
11	1088	7982
12	1175	7868
13	1268	7790
14	1363	7723
15	1455	7639
16	1542	7532
17	1628	7420
18	1738	7411
19	1835	7341
20	1926	7246
21	2010	7129
22	2095	7013
23	2215	7017
24	2339	7018
25	2434	6930
26	2522	6818
27	2579	6632
28	2667	6530
29	2836	6619
30	2964	6599
31	3052	6487
32	3141	6378
33	3246	6302
34	3345	6213
35	3398	6041
36	3522	5998
37	3640	5939
38	3726	5827
39	3815	5723
40	3900	5612
41	3990	5510
42	4074	5401
43	4130	5257
44	4233	5174
45	4322	5074
46	4379	4938
47	4474	4847
48	4566	4752
49	4659	4659
50	4762	4575
51	4890	4513
52	4987	4423
53	5057	4308
54	5149	4213
55	5240	4117
56	5331	4022
57	5373	3891
58	5473	3803
59	5566	3710
60	5651	3612
61	5735	3515
62	5824	3420
63	5909	3324
64	6011	3236
65	6127	3156
66	6221	3064
67	6278	2954
68	6367	2860
69	6456	2766
70	6545	2673
71	6629	2578
72	6717	2484
73	6801	2389
74	6855	2285
75	6910	2182
76	6994	2089
77	7079	1996
78	7169	1905
79	7299	1824
80	7412	1738
81	7497	1645
82	7585	1553
83	7668	1460
84	7755	1368
85	7851	1278
86	7942	1186
87	8033	1095
88	8117	1003
89	8206	911
90	8291	820
91	8376	728
92	8465	637
93	8522	543
94	8639	454
95	8735	363
96	8818	272
97	8901	181
98	8985	90
99	9073	0
